nct_id,start_year,duration,num_facilities,has_us_facility,minimum_age_years,maximum_age_years,is_cancer,enrolled,droprate,num_dropped
NCT01853072,2013,23.0,,,18.0,,False,881,0.03745743473325766,33.0
NCT00923975,2009,0.0,1.0,True,18.0,,False,51,0.0196078431372549,1.0
NCT00003782,1999,118.0,157.0,True,18.0,,True,5351,0.01625864324425341,87.0
NCT00779857,2008,13.0,7.0,True,18.0,,False,70,0.08571428571428572,6.0
NCT00746785,2008,93.0,1.0,True,21.0,55.0,False,304,0.26644736842105265,81.0
NCT00365365,2006,62.0,1.0,True,18.0,,True,214,0.397196261682243,85.0
NCT00774397,2008,37.0,100.0,True,18.0,65.0,False,719,0.23922114047287898,172.0
NCT00397033,2006,15.0,,,18.0,65.0,False,316,0.3291139240506329,104.0
NCT00313846,2006,14.0,44.0,True,40.0,75.0,False,529,0.030245746691871456,16.0
NCT00960141,2009,2.0,,,15.0,85.0,False,829,0.04101326899879373,34.0
NCT00925990,2009,11.0,21.0,True,18.0,,False,70,0.22857142857142856,16.0
NCT01406015,2011,54.0,1.0,True,18.0,70.0,False,38,0.15789473684210525,6.0
NCT01425268,2011,46.0,17.0,True,18.0,70.0,True,158,0.05063291139240506,8.0
NCT00433446,2007,25.0,123.0,True,18.0,,True,62,0.9838709677419355,61.0
NCT00734149,2007,43.0,1.0,True,18.0,,True,45,0.022222222222222223,1.0
NCT00117286,2005,54.0,22.0,True,18.0,,True,57,0.8596491228070176,49.0
NCT00910988,2009,40.0,1.0,True,18.0,45.0,False,46,0.1956521739130435,9.0
NCT00510510,2007,5.0,21.0,True,40.0,,False,281,0.1103202846975089,31.0
NCT00918281,2009,27.0,1.0,True,18.0,,True,70,0.4142857142857143,29.0
NCT00836277,2009,76.0,1.0,True,18.0,,True,24,0.25,6.0
NCT00530842,2007,16.0,42.0,False,40.0,75.0,False,344,0.12790697674418605,44.0
NCT01717287,2012,13.0,,,2.0,17.0,False,32,0.09375,3.0
NCT00876343,2009,40.0,8.0,False,20.0,74.0,False,586,0.07849829351535836,46.0
NCT01536587,2012,4.0,1.0,False,41.0,79.0,False,32,0.0625,2.0
NCT00379080,2006,69.0,9.0,True,18.0,,True,60,0.06666666666666667,4.0
NCT02474082,2015,14.0,32.0,False,18.0,,False,202,0.297029702970297,60.0
NCT01628848,2012,20.0,7.0,False,30.0,79.0,False,174,0.14942528735632185,26.0
NCT02401256,2015,34.0,1.0,True,18.0,49.0,False,70,0.24285714285714285,17.0
NCT01458171,2011,10.0,9.0,False,,75.0,False,23,0.043478260869565216,1.0
NCT01382225,2011,10.0,,,18.0,,False,1936,0.01084710743801653,21.0
NCT00075816,2004,112.0,45.0,True,,66.0,False,551,0.045372050816696916,25.0
NCT00112840,2005,63.0,2.0,True,18.0,,True,60,0.13333333333333333,8.0
NCT01537783,2012,24.0,1.0,True,18.0,,False,50,0.26,13.0
NCT00500331,2007,12.0,136.0,True,18.0,70.0,False,334,0.1377245508982036,46.0
NCT00003895,1999,175.0,1.0,True,17.0,,True,36,0.3055555555555556,11.0
NCT00102063,2005,25.0,55.0,True,13.0,17.0,False,302,0.1456953642384106,44.0
NCT01322009,2011,33.0,1.0,True,2.0,18.0,False,14,0.21428571428571427,3.0
NCT01960816,2013,28.0,2.0,True,18.0,75.0,False,33,0.030303030303030304,1.0
NCT01291173,2011,8.0,31.0,True,18.0,55.0,False,271,0.2140221402214022,58.0
NCT00806494,2008,11.0,39.0,False,18.0,,False,331,0.24169184290030213,80.0
NCT01177228,2010,13.0,,,18.0,70.0,False,47,0.06382978723404255,3.0
NCT01677299,2012,4.0,2.0,True,19.0,70.0,False,24,0.20833333333333334,5.0
NCT02423798,2015,5.0,,,18.0,74.0,False,24,0.125,3.0
NCT01196988,2010,8.0,59.0,True,0.5,17.0,False,3027,0.027089527585067722,82.0
NCT01378104,2011,35.0,14.0,False,18.0,,False,178,0.29775280898876405,53.0
NCT00787202,2008,21.0,59.0,False,18.0,,False,195,0.19487179487179487,38.0
NCT01602562,2012,12.0,11.0,False,1.0,64.0,False,40,0.2,8.0
NCT00954941,2009,41.0,1.0,True,18.0,,True,100,0.15,15.0
NCT00711477,2008,21.0,1.0,True,18.0,45.0,False,46,0.13043478260869565,6.0
NCT00806195,2008,27.0,153.0,True,0.1506849315068493,0.24383561643835616,False,7744,0.13584710743801653,1052.0
NCT00500370,2007,8.0,16.0,True,18.0,,False,163,0.4110429447852761,67.0
NCT00704340,2008,44.0,1.0,True,18.0,75.0,False,237,0.016877637130801686,4.0
NCT01908829,2013,16.0,219.0,True,18.0,,False,2174,0.06301747930082796,137.0
NCT00633360,2008,39.0,1.0,True,18.0,45.0,False,32,0.21875,7.0
NCT01669174,2012,27.0,9.0,True,40.0,80.0,False,67,0.1791044776119403,12.0
NCT01103960,2010,13.0,16.0,False,18.0,,False,324,0.021604938271604937,7.0
NCT00588692,2007,65.0,2.0,True,18.0,,False,60,0.16666666666666666,10.0
NCT01114672,2010,16.0,2.0,True,18.0,85.0,False,50,0.12,6.0
NCT01689207,2012,27.0,1.0,False,18.0,130.0,False,222,0.02252252252252252,5.0
NCT00051558,2003,44.0,15.0,True,21.0,,False,428,0.4369158878504673,187.0
NCT01827332,2013,27.0,1.0,True,18.0,65.0,False,16,0.1875,3.0
NCT00545103,2007,47.0,131.0,True,18.0,,False,592,0.5050675675675675,299.0
NCT01138046,2010,45.0,10.0,False,18.0,,False,12,0.5,6.0
NCT01697956,2012,4.0,6.0,True,6.0,11.0,False,99,0.020202020202020204,2.0
NCT00742859,2008,10.0,21.0,True,18.0,,False,508,0.08267716535433071,42.0
NCT00186186,2005,60.0,1.0,True,18.0,99.0,False,28,0.2857142857142857,8.0
NCT00106964,2005,48.0,11.0,True,12.0,24.0,False,371,0.09433962264150944,35.0
NCT01279447,2011,31.0,1.0,True,18.0,,False,68,0.058823529411764705,4.0
NCT00648167,2008,10.0,1.0,True,19.0,,False,55,0.12727272727272726,7.0
NCT01703858,2012,4.0,1.0,False,18.0,50.0,False,15,0.06666666666666667,1.0
NCT00388037,2006,60.0,1.0,False,18.0,,True,31,0.03225806451612903,1.0
NCT01632904,2012,21.0,70.0,True,18.0,,False,110,0.11818181818181818,13.0
NCT00529516,2007,2.0,29.0,True,18.0,,False,1252,0.004792332268370607,6.0
NCT00857792,2009,46.0,1.0,True,18.0,,False,120,0.1,12.0
NCT01149057,2010,45.0,16.0,False,18.0,,False,145,0.3931034482758621,57.0
